,ID,Startzeit,Fertigstellungszeit,Schulform,Alter,"Schulstufe (1. Jg HTL oder Fachschule = 9. Schulstufe, 4. Jg = 12. Schulstufe); für Kolleg bzw. Tageskolleg bitte >13 wählen",Geschlecht,Ich finde Onlineunterricht (alle Schüler/innen/Studierende sind zuhause) im Allgemeinen genauso gut wie normalen Unterricht (Präsenzunterricht). 5 Sterne = trifft voll zu,"Gib an, wie gut deine Bedingungen zum Onlinelernen zuhause sind (Computer, Internet, angenehmer Arbeitsplatz). 5 Sterne = sehr gut",Ich nehme am Onlineunterricht normalerweise über einen Laptop von zuhause aus teil. (5 trifft voll zu),"Gib an, ob der Onlineunterricht für dich im Allgemeinen anstrengender ist als Präsenzunterricht (5 Sterne = trifft voll zu)","Gib an, ob die Arbeitsbelastung für die Schule durch den Onlineunterricht im Allgemeinen  zunimmt (5 Sterne = sehr stark)",dass er nicht zeitig in der Früh ist,dass ich zuhause Ruhe habe,dass oft genug eine Pause eingelegt wird,dass der Unterricht gut strukturiert ist,"dass Onlineübungen eingebunden sind, die nicht bewertet sind, z.B. ein paar Fragen, wo man erfährt, ob sie stimmen, oder nicht, die aber nicht bewertet werden",dass Spiele in den Unterricht eingebunden werden,"dass es Arbeitsaufträge gibt, bei denen ich mit einem oder mehreren meiner Mitschüler/innen zusammenarbeite","dass klar ist, welche Leistungen zu erbringen sind","Wenn ich etwas Privates vom Lehrer/der Lehrerin mitbekomme (z.B. Kinder, Haustiere im Hintergrund etc.)",wenn ich im Onlineunterricht namentlich angesprochen werden,"wenn der Lehrer/die Lehrerin zeigt bzw. zugibt, dass sie sich irgendwo nicht auskennt",wenn ich im Unterricht gelobt werde,wenn andere im Onlineunterricht gelobt werden,"Ergänze hier Faktoren, die deine Freude am Onlineunterricht erhöhen, die bei Frage 12 nicht genannt sind.","Kreuze an, welche Vorteile der Unterricht im Klassenzimmer gegenüber dem Onlineunterricht hat.","Wenn du bei Frage 14 ""Sonstige"" angekreuzt hast, gib an, was du dabei gemeint hast.","Hast du den Eindruck, dass  ältere Lehrkräfte (>35 Jahre) im Allgemeinen schlechter mit der Gestaltung des  Onlineunterrichts zurecht kommen tun als jüngere Lehrkräfte? (5 Sterne= trifft voll zu)","Ich fände es gut, wenn auch in Zukunft ein Teil des Unterrichts online stattfindet (5 Sterne = trifft voll zu)",Kommentare,Schule
45,10,2021-03-11 14:34:48,2021-03-11 14:38:34,Fachschule,16-17,11,männlich,5.0,5.0,5.0,5.0,3.0,wichtig,,wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,wichtig,egal,egal,egal,egal,egal,Wir bekommen zu viele Hausaufgaben obwohl wir in der Schule deutlich weniger bekommen und das macht halt sehr viel druck.,Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,,3.0,5.0,Es war alles verständlich,HTL Spengergasse
46,11,2021-03-11 15:20:04,2021-03-11 15:26:10,Fachschule,16-17,10,männlich,4.0,2.0,4.0,4.0,5.0,sehr wichtig,wichtig,wichtig,wichtig,egal,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,egal,wichtig,wichtig,wichtig,Wenn mehr mit den Schülern interagiert wird.,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,3.0,Viele der Fragen kann man leider nicht so einfach beantworten,HTL Spengergasse
47,12,2021-03-11 15:20:52,2021-03-11 15:29:07,Fachschule,16-17,11,männlich,4.0,5.0,2.0,3.0,2.0,wichtig,nicht wichtig,sehr wichtig,wichtig,sehr wichtig,egal,nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,5.0,Eine Mischung aus Online und Präsenz Unterricht macht den Unterricht sicher interessanter.,HTL Spengergasse
48,13,2021-03-11 15:21:57,2021-03-11 15:29:19,Fachschule,16-17,11,männlich,2.0,1.0,5.0,5.0,3.0,wichtig,nicht wichtig,sehr wichtig,wichtig,egal,wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,wichtig,wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,1.0,5.0,,HTL Spengergasse
49,14,2021-03-11 15:22:04,2021-03-11 15:29:36,Fachschule,16-17,11,männlich,4.0,4.0,5.0,3.0,3.0,wichtig,egal,egal,wichtig,wichtig,egal,nicht wichtig,wichtig,egal,nicht wichtig,egal,egal,nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,3.0,4.0,,HTL Spengergasse
50,15,2021-03-11 15:21:54,2021-03-11 15:31:55,Fachschule,14-15,10,männlich,5.0,5.0,5.0,2.0,4.0,wichtig,egal,egal,egal,nicht wichtig,nicht wichtig,egal,sehr wichtig,egal,gar nicht wichtig,egal,sehr wichtig,gar nicht wichtig,Der Lehrer muss keine Team besprechung machen sondern kann auch einfach nur eine Aufgabe,Zusammenarbeit mit Mitschüler/innen einfacher;,,1.0,5.0,,HTL Spengergasse
51,16,2021-03-11 15:22:06,2021-03-11 15:32:55,Fachschule,16-17,11,männlich,3.0,5.0,5.0,3.0,4.0,egal,wichtig,wichtig,egal,wichtig,egal,sehr wichtig,sehr wichtig,egal,nicht wichtig,wichtig,sehr wichtig,egal,Das der Lehrer aktiv erklärt und nicht nur videos zeigt.,direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;,,3.0,4.0,,HTL Spengergasse
52,17,2021-03-12 09:42:02,2021-03-12 09:45:32,Fachschule,16-17,10,männlich,4.0,5.0,5.0,2.0,3.0,sehr wichtig,sehr wichtig,egal,wichtig,sehr wichtig,egal,wichtig,sehr wichtig,gar nicht wichtig,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,3.0,,HTL Spengergasse
53,18,2021-03-12 13:19:18,2021-03-12 13:27:04,Fachschule,16-17,10,männlich,4.0,5.0,5.0,2.0,2.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,egal,wichtig,sehr wichtig,gar nicht wichtig,nicht wichtig,wichtig,egal,egal,Habe keine,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,1.0,Ich habe nichts hinzufügen,HTL Spengergasse
54,19,2021-03-13 11:39:45,2021-03-13 11:46:27,Fachschule,16-17,10,männlich,4.0,4.0,4.0,3.0,4.0,egal,wichtig,sehr wichtig,wichtig,egal,wichtig,egal,wichtig,egal,nicht wichtig,wichtig,egal,egal,"Ja halt es gibt nichts viel zu Sagen, Onlineunterrichten sollten stressfrei und nicht so lang sein, z.b 2 Stunden, weil wenn man 2 Stunden vor dem Laptop sitzt, kann man Probleme bekommen, z.b Kopfweh, müdigkeit usw. ",Nachfragen einfacher;,,4.0,4.0,"Gute und verständliche Fragebogen. Ich kann nicht viel sagen.
",HTL Spengergasse
55,20,2021-03-13 11:46:40,2021-03-13 11:50:45,Fachschule,16-17,10,männlich,4.0,4.0,4.0,3.0,4.0,wichtig,wichtig,sehr wichtig,wichtig,egal,wichtig,egal,wichtig,egal,egal,wichtig,egal,egal,"Wenn der Unterricht nicht länger als 1 Stunde ist, weil ich mag es nicht 2 Stunden vor meinem Laptop zu sitzen, nähmlich das führt zu Probleme wie Kopfschmerzen, müdigkeit usw. ",Nachfragen einfacher;,,4.0,4.0,Gut und verständlich gestalte Fragebogen. Ich kann nichts viel dazu sagen bzw ein Kommentar hinterlassen. ,HTL Spengergasse
56,21,2021-03-14 14:17:49,2021-03-14 14:24:10,Fachschule,16-17,10,männlich,5.0,5.0,5.0,1.0,2.0,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,egal,egal,wichtig,sehr wichtig,nicht wichtig,egal,wichtig,egal,egal,,Nachfragen einfacher;,,3.0,5.0,,HTL Spengergasse
57,22,2021-03-14 14:24:21,2021-03-14 14:27:09,Fachschule,16-17,10,männlich,5.0,5.0,5.0,1.0,2.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,egal,egal,wichtig,egal,egal,wichtig,egal,nicht wichtig,,Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,,2.0,5.0,,HTL Spengergasse
58,23,2021-03-14 14:27:45,2021-03-14 14:29:17,Fachschule,16-17,10,männlich,5.0,5.0,5.0,1.0,2.0,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,wichtig,egal,wichtig,wichtig,nicht wichtig,egal,egal,egal,nicht wichtig,,Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,,3.0,5.0,,HTL Spengergasse
59,24,2021-03-14 20:39:45,2021-03-14 20:48:03,Fachschule,16-17,10,männlich,3.0,3.0,5.0,5.0,5.0,egal,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,egal,wichtig,sehr wichtig,egal,wichtig,sehr wichtig,egal,egal,"dass der Lehrer öfters nachfragt, ob man mitgekommen ist.",direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;Sonstige;,"bessere Konzentration
man kommt besser mit bzw. bekommt mehr mit
man hat mehr Energie",3.0,2.0,,HTL Spengergasse
60,25,2021-03-14 21:43:15,2021-03-14 21:47:23,Fachschule,16-17,10,männlich,5.0,5.0,5.0,1.0,1.0,sehr wichtig,wichtig,wichtig,sehr wichtig,wichtig,wichtig,wichtig,wichtig,gar nicht wichtig,egal,egal,wichtig,wichtig,,ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,4.0,5.0,,HTL Spengergasse
61,26,2021-03-14 21:47:54,2021-03-14 21:50:41,Fachschule,16-17,10,männlich,5.0,5.0,5.0,1.0,1.0,sehr wichtig,wichtig,wichtig,wichtig,wichtig,sehr wichtig,wichtig,wichtig,egal,egal,egal,wichtig,wichtig,,Nachfragen einfacher;ruhigere Arbeitsumgebung als zuhause;,,4.0,5.0,,HTL Spengergasse
62,27,2021-03-15 15:44:38,2021-03-15 15:49:20,HTL,16-17,10,männlich,4.0,5.0,5.0,3.0,2.0,wichtig,egal,egal,wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,wichtig,egal,egal,-,direktes Gespräch mit Lehrkraft möglich;,-,3.0,5.0,kein kommentar,HTL Spengergasse
63,1,2021-03-10 12:21:24,2021-03-10 12:25:31,HTL,14-15,10,weiblich,3.0,3.0,5.0,3.0,4.0,wichtig,sehr wichtig,egal,wichtig,sehr wichtig,egal,wichtig,sehr wichtig,egal,gar nicht wichtig,egal,sehr wichtig,sehr wichtig,Wenn man keine Cams öffnen muss.,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,3.0,5.0,jo das wars,HTL Spengergasse
64,2,2021-03-10 12:24:37,2021-03-10 12:30:56,HTL,14-15,10,männlich,2.0,5.0,1.0,2.0,3.0,sehr wichtig,wichtig,wichtig,sehr wichtig,wichtig,nicht wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,egal,egal,egal,egal,Netter und interessanter Unterricht ,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,3.0,,HTL Spengergasse
65,3,2021-03-10 13:34:20,2021-03-10 13:37:15,HTL,18-20,10,männlich,1.0,1.0,1.0,5.0,3.0,egal,sehr wichtig,wichtig,sehr wichtig,egal,nicht wichtig,gar nicht wichtig,sehr wichtig,egal,nicht wichtig,wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,4.0,1.0,,HTL Spengergasse
66,4,2021-03-10 14:47:03,2021-03-10 14:51:43,HTL,16-17,10,weiblich,4.0,5.0,5.0,1.0,5.0,nicht wichtig,sehr wichtig,egal,wichtig,wichtig,egal,wichtig,sehr wichtig,sehr wichtig,wichtig,wichtig,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,2.0,5.0,,HTL Spengergasse
67,5,2021-03-10 16:51:20,2021-03-10 17:01:58,HTL,16-17,10,männlich,5.0,5.0,5.0,1.0,1.0,sehr wichtig,sehr wichtig,egal,egal,gar nicht wichtig,egal,egal,sehr wichtig,egal,egal,sehr wichtig,egal,egal,abwechslungsreicher Unterricht ist sehr wichtig,Nachfragen einfacher;,,3.0,3.0,,HTL Spengergasse
68,6,2021-03-10 17:08:42,2021-03-10 17:13:04,HTL,16-17,10,weiblich,1.0,5.0,2.0,5.0,4.0,wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,egal,nicht wichtig,sehr wichtig,sehr wichtig,gar nicht wichtig,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,1.0,,HTL Spengergasse
69,7,2021-03-10 17:54:52,2021-03-10 18:01:14,HTL,16-17,10,weiblich,5.0,4.0,5.0,3.0,3.0,wichtig,sehr wichtig,wichtig,wichtig,egal,egal,gar nicht wichtig,sehr wichtig,egal,egal,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,1.0,4.0,,HTL Spengergasse
70,8,2021-03-10 18:07:13,2021-03-10 18:12:08,HTL,14-15,10,weiblich,3.0,5.0,5.0,4.0,4.0,sehr wichtig,wichtig,sehr wichtig,wichtig,egal,wichtig,wichtig,wichtig,nicht wichtig,egal,wichtig,egal,egal,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;direktes Gespräch mit Lehrkraft möglich;,,4.0,5.0,,HTL Spengergasse
71,9,2021-03-10 18:35:12,2021-03-10 18:44:20,HTL,16-17,10,weiblich,3.0,4.0,5.0,4.0,3.0,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,egal,wichtig,wichtig,sehr wichtig,egal,egal,egal,egal,egal,Wenn Lehrer nicht mehr sagen das wir für Diese Schule nicht genugen und wir aufgrund unsere leistungen nicht in die schule passend sind.,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,4.0,4.0,,HTL Spengergasse
72,10,2021-03-10 19:07:48,2021-03-10 19:11:49,HTL,16-17,10,weiblich,2.0,3.0,5.0,4.0,3.0,egal,sehr wichtig,egal,sehr wichtig,wichtig,wichtig,wichtig,sehr wichtig,egal,wichtig,wichtig,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,2.0,1.0,,HTL Spengergasse
73,11,2021-03-10 19:39:58,2021-03-10 19:44:41,HTL,16-17,10,männlich,2.0,2.0,5.0,5.0,5.0,wichtig,wichtig,sehr wichtig,wichtig,wichtig,egal,wichtig,sehr wichtig,nicht wichtig,egal,wichtig,egal,egal,wenn es entfällt,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,5.0,2.0,,HTL Spengergasse
74,12,2021-03-10 19:39:54,2021-03-10 19:45:46,HTL,16-17,10,männlich,1.0,3.0,5.0,5.0,5.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,egal,egal,sehr wichtig,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,2.0,,HTL Spengergasse
75,13,2021-03-11 07:43:43,2021-03-11 07:48:48,HTL,16-17,10,männlich,4.0,5.0,1.0,2.0,2.0,egal,wichtig,egal,wichtig,wichtig,egal,wichtig,sehr wichtig,egal,wichtig,egal,egal,egal,Dass die Stunde gut strukuriert ist und man versteht um was es geht. Und auch gefragt wird ob man es verstanden hat. ,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,4.0,3.0,,HTL Spengergasse
76,14,2021-03-11 09:45:03,2021-03-11 09:49:53,HTL,14-15,10,weiblich,1.0,5.0,5.0,3.0,3.0,egal,wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,wichtig,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;,,3.0,2.0,,HTL Spengergasse
77,15,2021-03-11 09:50:29,2021-03-11 09:52:28,HTL,14-15,10,weiblich,2.0,5.0,5.0,3.0,3.0,egal,wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,egal,egal,egal,egal,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;,,3.0,2.0,,HTL Spengergasse
78,16,2021-03-14 14:25:31,2021-03-14 14:33:44,HTL,16-17,10,männlich,1.0,4.0,4.0,5.0,5.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,nicht wichtig,nicht wichtig,sehr wichtig,egal,wichtig,sehr wichtig,wichtig,wichtig,Humor beim Unterrichten // nicht alles wie ein Roboter runter rattern,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Sonstige;,Zuhause hat man absolut keine Lust zu lernen wenn man 2 Meter vom Bett entfernt ist und eigentlich schlafe könnte,1.0,1.0,,HTL Spengergasse
79,17,2021-03-14 15:12:34,2021-03-14 15:14:40,HTL,14-15,10,weiblich,1.0,3.0,5.0,5.0,3.0,egal,wichtig,wichtig,egal,egal,egal,nicht wichtig,wichtig,egal,egal,egal,egal,egal,,keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,2.0,,HTL Spengergasse
80,18,2021-03-14 17:41:04,2021-03-14 17:48:58,HTL,18-20,10,männlich,,3.0,5.0,5.0,5.0,nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,egal,sehr wichtig,sehr wichtig,egal,nicht wichtig,wichtig,wichtig,egal,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;,,3.0,,,HTL Spengergasse
81,19,2021-03-14 19:13:58,2021-03-14 19:20:52,HTL,16-17,10,weiblich,4.0,4.0,4.0,2.0,3.0,egal,sehr wichtig,sehr wichtig,wichtig,sehr wichtig,egal,gar nicht wichtig,wichtig,egal,egal,wichtig,wichtig,wichtig,,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;direktes Gespräch mit Lehrkraft möglich;Nachfragen einfacher;Sonstige;,eingesparter Fahrweg in die Schule und zurück nach hause,3.0,1.0,,HTL Spengergasse
82,20,2021-03-14 20:40:01,2021-03-14 20:43:27,HTL,16-17,10,weiblich,3.0,2.0,4.0,4.0,4.0,wichtig,wichtig,wichtig,egal,egal,egal,wichtig,wichtig,egal,egal,wichtig,egal,egal,,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,3.0,2.0,,HTL Spengergasse
83,21,2021-03-14 20:41:05,2021-03-14 20:47:18,HTL,16-17,10,männlich,1.0,3.0,5.0,5.0,5.0,egal,sehr wichtig,sehr wichtig,wichtig,wichtig,nicht wichtig,wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,sehr wichtig,Stunde spannend gestalten,direktes Gespräch mit Lehrkraft möglich;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;ruhigere Arbeitsumgebung als zuhause;Nachfragen einfacher;,,4.0,1.0,,HTL Spengergasse
84,22,2021-03-14 23:35:54,2021-03-14 23:38:22,HTL,14-15,10,weiblich,1.0,3.0,5.0,3.0,3.0,egal,wichtig,egal,egal,egal,egal,nicht wichtig,wichtig,egal,nicht wichtig,egal,egal,egal,,keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;,,3.0,2.0,,HTL Spengergasse
85,23,2021-03-15 13:32:12,2021-03-15 14:42:56,HTL,16-17,9,weiblich,2.0,4.0,5.0,2.0,2.0,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,wichtig,egal,sehr wichtig,nicht wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,Immer mal wieder erfahren wie es mit der Note aussieht (ob man sich verbessern muss oder ob es passt),Zusammenarbeit mit Mitschüler/innen einfacher;Nachfragen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,,4.0,3.0,,HTL Spengergasse
86,1,2021-03-09 22:13:50,2021-03-09 22:20:16,Tageskolleg,18-20,>13,männlich,5.0,5.0,5.0,1.0,1.0,sehr wichtig,egal,egal,sehr wichtig,egal,gar nicht wichtig,egal,wichtig,wichtig,wichtig,wichtig,sehr wichtig,sehr wichtig,Das ich nicht in den 5.ten Stock hinauf gehen muss,Sonstige;,Ich denke das der Online Unterricht zwar Nachteile bringt aber die oben genannten Nachteile sind für mich Persönlich nicht zu treffend,1.0,5.0,Ich bin zumindest während der Krise für vollzeit Online Unterricht,HTL Spengergasse
87,2,2021-03-09 22:20:36,2021-03-09 22:43:52,Tageskolleg,>20,>13,männlich,5.0,5.0,1.0,1.0,1.0,wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,wichtig,egal,sehr wichtig,egal,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,Das ich nicht einen langen Schulweg mit öffentliche Verkehrsmittel machen muss,,,1.0,5.0,,HTL Spengergasse
88,3,2021-03-09 22:38:20,2021-03-09 22:45:08,Tageskolleg,>20,>13,männlich,5.0,5.0,2.0,1.0,3.0,wichtig,sehr wichtig,egal,wichtig,wichtig,egal,wichtig,sehr wichtig,egal,egal,egal,wichtig,wichtig,,direktes Gespräch mit Lehrkraft möglich;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;Nachfragen einfacher;,,4.0,5.0,,HTL Spengergasse
89,4,2021-03-09 23:23:34,2021-03-09 23:29:12,Tageskolleg,18-20,13,männlich,5.0,5.0,5.0,1.0,1.0,gar nicht wichtig,sehr wichtig,wichtig,sehr wichtig,wichtig,egal,nicht wichtig,sehr wichtig,gar nicht wichtig,gar nicht wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,,direktes Gespräch mit Lehrkraft möglich;,,5.0,5.0,,HTL Spengergasse
90,5,2021-03-10 00:14:32,2021-03-10 00:22:53,Tageskolleg,>20,>13,,5.0,5.0,5.0,1.0,3.0,nicht wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,nicht wichtig,wichtig,wichtig,wichtig,wichtig,"Ich finde den Online Unterricht sehr gut, es gibt nichts dem hinzufügen.",Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,2.0,5.0,"Mir gefällt der Online Unterricht sehr gut.
Was mir allerdings nicht gefällt, wenn man Blockunterricht hat und einige Fächer deswegen nicht online stattfinden, sondern das man alleine den Stoff zuhause macht.",HTL Spengergasse
91,6,2021-03-10 01:28:44,2021-03-10 01:40:38,Tageskolleg,>20,>13,männlich,3.0,5.0,1.0,3.0,1.0,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,gar nicht wichtig,sehr wichtig,sehr wichtig,egal,egal,Feedback auf Arbeitsaufträge find ich extrem wichtig!,Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;,,1.0,5.0,"zu Frage 7.: Stand-PC
zu Frage 16.: Mein Eindruck ist hier eher so das sich einige ältere Lehrkräfte besonders ins Zeug legen, weil Sie Ihren Schülern bestmöglich das Wissen vermitteln möchten.
zu Frage 17.: mir persönlich wäre es egal solange das Feedback auf die Arbeit einen lernfortschritt garantieren.",HTL Spengergasse
92,7,2021-03-10 01:26:47,2021-03-10 01:43:03,Tageskolleg,>20,>13,männlich,5.0,5.0,1.0,3.0,1.0,sehr wichtig,sehr wichtig,egal,sehr wichtig,sehr wichtig,wichtig,gar nicht wichtig,sehr wichtig,nicht wichtig,egal,sehr wichtig,egal,egal,"Wenn man nicht alle 10 Minuten mit vermeidbaren Fragestellungen dazu genötigt wird zu Antworten, da ansonsten schnell mal ein ""nicht answesend"" eingetragen wird mitten im Unterricht. Wenn man zuhause ist, hat man dennoch unvorhergesehene verpflichtungen zu tätigen (kochen, Pakete übernehmen, Waschmaschine ausschalten, Klogang etc. pp.). Wenn exakt zu so einer Zeit intervall fragen kommen - die den Unterricht auffhalten und vermeidbar wären, nur um die eigene Unsicherheit bzgl. anwesenheit der Schüler zu besänftigen - welche dazu führen dass man für den gesamten Unterrichtsblock als ""fehlend"" eingetragen wird, ist dies schon sehr sehr ärgerlich.",,,2.0,5.0,,HTL Spengergasse
93,8,2021-03-10 08:43:29,2021-03-10 08:48:02,Tageskolleg,18-20,>13,weiblich,3.0,3.0,1.0,3.0,3.0,nicht wichtig,sehr wichtig,wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,sehr wichtig,nicht wichtig,egal,sehr wichtig,nicht wichtig,nicht wichtig,,direktes Gespräch mit Lehrkraft möglich;Zusammenarbeit mit Mitschüler/innen einfacher;Reaktion der Lehrkraft auf das Verhalten der Schüler/innen besser erkennbar;keine technischen Fertigkeiten (Computerbedienung) dafür erforderlich;,,2.0,5.0,,HTL Spengergasse
